Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2906205;Herbolzheim;Herbolzheim;Gerbol'cgajm,Herbolshaym,Herbolzheim,Kherbol'ckhajm,Kherbolckhajm,hei er bo er ci hai mu,hrbwlzhaym,hyrbwltshaym,Гербольцгайм,Херболцхајм,Хербольцхайм,Հերբոլցհայմ,هربولزهایم,هيربولتسهايم,黑尔博尔茨海姆;P;PPL;DE;Germany;;01;083;08316;08316017;9632;;178;Europe/Berlin;2013-02-16;Germany;48.21884, 7.77746
2833795;Seehausen am Staffelsee;Seehausen am Staffelsee;Seehausen a. Staffelsee,Seehausen am Staffesee,Zeekhauzen-am-Shtaffel'zee,Zegauzen-am-Shtaffel'ze,Zekhauzen am Shtafelze,Zeyhauzen am Stafelzey,shi ta fu er hu pan sai hao sen,zyhawzn,Зегаузен-ам-Штаффельзе,Зеехаузен-ам-Штаффельзее,Зехаузен ам Штафелзе,Զեյհաուզեն ամ Շտաֆելզեյ,زیهاوزن,施塔弗尔湖畔塞豪森;P;PPL;DE;Germany;;02;091;09180;09180132;2416;;658;Europe/Berlin;2013-02-19;Germany;47.68928, 11.18498
2805419;Wutöschingen;Wutoeschingen;Vuteshingen,Vutjoshingen,Wutoeschingen,Wutoschingen,Wutöschingen,wu te xin gen,Вутешинген,Вутёшинген,武特欣根;P;PPLA4;DE;Germany;;01;083;08337;08337123;6675;;387;Europe/Berlin;2017-04-26;Germany;47.66019, 8.36755
2810204;Westerrönfeld;Westerronfeld;Westerroenfeld,Westerronfeld,Westerrönfeld;P;PPLA4;DE;Germany;;10;00;01058;01058172;5227;;8;Europe/Berlin;2015-03-04;Germany;54.28333, 9.65
2823398;Teterow;Teterow;Teterov,Teterova,Teterow,Tēterova,te luo,Тетеров,特罗;P;PPL;DE;Germany;;12;00;13072;13072106;9544;;8;Europe/Berlin;2015-09-05;Germany;53.77545, 12.57487
2823426;Tespe;Tespe;Gemeen Tesp,Tespe,te si pei,Теспе,特斯佩;P;PPLA4;DE;Germany;;06;00;03353;03353033;3987;;5;Europe/Berlin;2011-09-04;Germany;53.3964, 10.41084
2824545;Süßen;Sussen;Zisen,Zjusen,Zjussen,xu sen,zwsn,Зисен,Зюсен,Зюссен,زوسن,叙森;P;PPL;DE;Germany;;01;081;08117;08117049;10167;;361;Europe/Berlin;2013-02-16;Germany;48.67934, 9.75534
2811537;Welle;Welle;;P;PPLA4;DE;Germany;;06;00;03353;03353038;1251;;52;Europe/Berlin;2011-07-31;Germany;53.23985, 9.80178
2915357;Groß Laasch;Gross Laasch;Gross Laasch,Groß Laasch;P;PPL;DE;Germany;;12;00;13076;13076058;1096;;39;Europe/Berlin;2018-12-04;Germany;53.34646, 11.54919
2928809;Essen;Essen;Ehssen,Esen,Essen,Essen (Oldenburg),Есен,Эссен;P;PPL;DE;Germany;;06;00;03453;03453006;8185;;26;Europe/Berlin;2022-07-29;Germany;52.72258, 7.9371
2941166;Burgschwalbach;Burgschwalbach;;P;PPLA4;DE;Germany;;08;00;07141;07141020;1142;;190;Europe/Berlin;2011-04-25;Germany;50.28333, 8.08333
2955519;Arneburg;Arneburg;Arneburg,a er nei bao,arnhbwrgh,Арнебург,آرنهبورغ,آرن‌برگ,阿尔内堡;P;PPL;DE;Germany;;14;00;15090;15090010;1754;;56;Europe/Berlin;2015-09-05;Germany;52.67565, 12.00514
2847490;Richtenberg;Richtenberg;Richbarg,Rihtenberga,Rikhtenberg,li xi teng bei ge,ryshtnbrg,ryshtnbrgh,Рихтенберг,ريشتنبرغ,ریشتنبرگ,里希滕贝格;P;PPL;DE;Germany;;12;00;13073;13073076;1429;;17;Europe/Berlin;2015-09-05;Germany;54.20131, 12.89409
2853435;Plankstadt;Plankstadt;Plankshtadt,Plankshtat,Plankstadt,pu lan ke si ta te,purankushutatto,Планкштадт,Планкштат,プランクシュタット,普兰克斯塔特;P;PPLA4;DE;Germany;;01;082;08226;08226063;9211;;103;Europe/Berlin;2011-07-31;Germany;49.39444, 8.59611
2885908;Königsbrunn;Konigsbrunn;Kenigsbrun,Kenigsbrunn,Kjonigsbrunn,Konigsbrunn,Königsbrunn,ke ni xi si bu lun,kwnyghsbrwn,kwnygzbrwn,Кенигсбрун,Кенігсбрунн,Кёнигсбрунн,Քյոնիգսբրուն,كونيغسبرون,کونیگزبرون,柯尼希斯布伦;P;PPL;DE;Germany;;02;097;09772;09772163;27494;;516;Europe/Berlin;2013-02-19;Germany;48.27506, 10.89178
2906256;Hepstedt;Hepstedt;;P;PPLA4;DE;Germany;;06;00;03357;03357026;1046;;23;Europe/Berlin;2011-07-29;Germany;53.25874, 9.08209
2954603;Auerbach;Auerbach;Auehrbakh,Auerbach,Auerbach in der Oberpfalz,Aurbach,Ауэрбах;P;PPL;DE;Germany;;02;093;09371;09371113;9089;;441;Europe/Berlin;2013-02-19;Germany;49.69201, 11.63327
2853658;Pinneberg;Pinneberg;Pineberg,Pinebergas,Pinnbarg,Pinneberg,bynhbrgh,ping ne bei ge,pynbrg,Пинеберг,Пиннеберг,פינברג,بينهبرغ,پینبرگ,平讷贝格;P;PPLA3;DE;Germany;;10;00;01056;01056039;40577;;13;Europe/Berlin;2015-09-04;Germany;53.66732, 9.78936
2866905;Naumburg;Naumburg;Naumburg,naumuburuku,nawmbwrg,Наумбург,Наўмбург,ناومبورگ,ナウムブルク;P;PPL;DE;Germany;;05;066;06633;06633018;5563;;286;Europe/Berlin;2019-09-05;Germany;51.24816, 9.16569
2885991;Königheim;Konigheim;Keniggajm,Kenigkhajm,Kjonigkhajm,Koenigheim,Konigheim,Königheim,ke ni xi hai mu,kenihihaimu,Кенигхајм,Кеніггайм,Кёнигхайм,ケーニヒハイム,柯尼希海姆;P;PPLA4;DE;Germany;;01;081;08128;08128061;3283;;262;Europe/Berlin;2015-03-04;Germany;49.62028, 9.59583
2810289;Westerkappeln;Westerkappeln;Vesterkapeln,Vesterkappel'n,Westerkappeln,wei si te er ka pei er en,Вестеркапелн,Вестеркаппельн,韦斯特尔卡佩尔恩;P;PPLA4;DE;Germany;;07;055;05566;05566092;11397;;64;Europe/Berlin;2011-04-25;Germany;52.31667, 7.88333
2813935;Wartenberg;Wartenberg;Vartenberg,Wartenberg,Wartenburg,wartnbrg,Вартенберг,وارتنبرگ;P;PPL;DE;Germany;;02;091;09177;09177143;4548;;434;Europe/Berlin;2019-12-03;Germany;48.40597, 11.98865
2831242;Sonneborn;Sonneborn;;P;PPLA4;DE;Germany;;15;00;16067;16067063;1283;;263;Europe/Berlin;2017-04-26;Germany;50.9927, 10.59173
2844604;Roßwein;Rosswein;Rosswein,Rosvajn,Rosveina,Roswin,Roßwein,luo si wei yin,rswayn,rwsfayn,Росвайн,Росвајн,رسواین,روسفاين,罗斯韦因;P;PPL;DE;Germany;;13;00;14522;14522510;7568;;208;Europe/Berlin;2015-09-05;Germany;51.06589, 13.18308
2864058;Neustadt am Rübenberge;Neustadt am Ruebenberge;Neustadt,Neustadt am Rbge,Neustadt am Rubenberge,Neustadt am Ruebenberge,Neustadt am Rübenberge,Niestadt,Nojshhat am Rjubenberge,Nojshtadt-am-Rjubenberge,Nojshtat am Ribenberge,lu ben shan lu nuo yi shi ta te,nwyshtat am rwbnbrghh,Нойштадт-ам-Рюбенберге,Нойщат ам Рюбенберге,Нојштат ам Рибенберге,نويشتات آم روبنبرغه,نوی‌اشتات آم روبنبرگه,吕本山麓诺伊施塔特;P;PPL;DE;Germany;;06;00;03241;03241012;45942;;42;Europe/Berlin;2019-03-08;Germany;52.50462, 9.45871
2872583;Meckenheim;Meckenheim;Meckenheim,Meehenheim,Mekkenkhajm,Меккенхайм;P;PPLA4;DE;Germany;;08;00;07332;07332035;3376;;114;Europe/Berlin;2011-04-25;Germany;49.40444, 8.23917
2884482;Kreiensen;Kreiensen;Krajenzen,Krajnsen,Kreiensen,Kreinsen,Kreinssen,ke lai en sen,kuraienzen,Крайензен,Крајнсен,クライエンゼン,克赖恩森;P;PPL;DE;Germany;;06;00;03155;03155013;7359;;106;Europe/Berlin;2015-09-04;Germany;51.85363, 9.96481
2805928;Wülfershausen;Wuelfershausen;Wulfershausen,Wülfershausen;P;PPL;DE;Germany;;02;096;09673;09673184;1469;;251;Europe/Berlin;2015-02-05;Germany;50.33201, 10.34084
2834651;Schwebheim;Schwebheim;Shvebgajm,Shvebkhajm,shi wei bu hai mu,shwbhaym,Швебгайм,Швебхайм,Швебхајм,شوبهایم,施韦布海姆;P;PPLA4;DE;Germany;;02;096;09678;09678176;4023;;215;Europe/Berlin;2012-09-20;Germany;49.99036, 10.24776
2910048;Hartmannsdorf;Hartmannsdorf;;P;PPLA4;DE;Germany;;13;00;14522;14522260;4732;;319;Europe/Berlin;2020-02-17;Germany;50.88635, 12.79904
2932321;Eichendorf;Eichendorf;Ajkhendorf,Ayxendorf,Eichendorf,Euchendorf,ai xing duo fu,ayshndwrf,Айхендорф,Ајхендорф,Այխենդորֆ,ایشندورف,艾兴多夫;P;PPL;DE;Germany;;02;092;09279;09279113;6617;;358;Europe/Berlin;2013-02-19;Germany;48.63266, 12.85586
